Numero_de_muestra X1 X2 X3 X4
1 15.8 16.3 16.2 16.6
2 16.3 15.9 15.9 16.4
3 16.1 16.2 16.5 16.3
4 16.3 16.2 15.9 16.2
5 16.1 16.1 16.4 16.0
6 16.1 15.8 16.7 16.4
7 16.1 16.3 16.5 16.5
8 16.2 16.1 16.2 16.3
9 16.3 16.2 16.4 16.5
10 16.6 16.3 16.4 16.5
11 16.2 16.4 15.9 16.4
12 15.9 16.6 16.7 16.5
13 16.4 16.1 16.6 16.1
14 16.5 16.3 16.2 16.4
15 16.4 16.1 16.3 16.2
16 16.0 16.2 16.3 16.2
17 16.4 16.2 16.4 16.2
18 16.0 16.2 16.4 16.1
19 16.4 16.0 16.3 16.4
20 16.4 16.4 16.5 15.8
21 16.3 16.0 15.9 16.2
22 15.8 16.1 16.3 15.9
23 16.5 16.0 16.2 16.7
24 15.8 16.3 16.3 16.1
25 16.3 16.2 16.1 15.8
