Muestra X1 X2 X3 X4 X5 X6 X7 X8 X9
1 -0.86 -0.41 -2.14 0.86 -0.33 -0.83 -0.04 0.56 -0.77
2 -0.92 -1.72 0.81 0.42 -0.77 0.08 -0.25 0.92 -1.58
3 -0.05 -1.84 0.07 0.05 -0.7 -0.63 -1.65 0.32 -0.8
4 0.14 -0.07 -0.94 1.13 0.54 0.14 -0.16 1.08 0.72
5 -1.15 -0.81 0.71 -0.35 -0.43 2.52 -0.51 1.43 1.51
6 1.13 0.79 0.11 0.06 -0.93 -1.06 -0.49 -0.41 -0.59
7 -2.44 1.97 0.11 0.18 1.75 -0.46 -1.51 3.34 0.04
8 -1.05 1.13 -0.62 -0.67 1.11 1.59 -0.16 0.82 0.1
9 -0.08 -0.54 0.16 -0.43 -0.18 1.84 1.18 -0.77 -0.05
10 -0.25 -0.8 -1.84 0.06 0.71 -1.06 0.38 -1.19 0.29
11 0.44 -0.18 1.47 -2.11 1.28 -0.44 0.34 0.07 -1.34
12 1.95 0.49 -0.96 1.05 -0.69 -1.87 0.76 -0.42 1.93
13 -0.15 0.9 -2.96 -0.88 0.41 0.19 -0.79 -1.65 0.3
14 1.45 0.33 0.16 -0.49 0.33 1.04 -0.23 -0.74 0.19
15 -0.59 -1.1 -1.36 0.86 1.82 1.01 -1.76 -0.12 -1.78
16 0.15 1.92 0.41 1 -0.65 0.47 0.59 -0.51 -0.26
17 0.92 1.22 -0.6 -0.37 -2.1 0.8 -0.19 1.19 -1.04
18 1.01 -1.27 0.24 1.73 -0.98 1.12 -0.27 1.03 0
19 0.08 -1.43 -0.06 -0.83 -1.18 0.24 -1.06 -0.51 1.76
20 0.17 1.17 0.52 2.05 2.31 1.9 0.37 1.14 0.73
21 -0.95 0.15 0.01 -2.92 1.11 0.36 1.57 1.04 -0.67
22 -0.01 0.79 0.05 1.56 0.25 -0.04 1.26 0.59 0.53
23 -0.58 0.11 0.11 -2.08 0.33 -0.34 1.04 -1.1 0.43
24 2.71 -1.08 -1.1 -0.82 0.62 -1.23 -0.46 -1.06 1.18
25 -0.36 0.8 -0.48 1.17 -0.02 0.32 -1.75 -1.08 0
