Muestra X1 X2 X3 X4 X5 X6 X7 X8 X9
1 0.18 -0.03 0.8 1.29 1.06 0.52 1.53 0.77 0.63
2 0.02 1.74 0.44 0.55 -0.36 -1.3 -1.07 0.86 -0.31
3 0.44 -1.64 -0.29 -1.15 1.69 -0.45 0.24 0.57 1.11
4 0.34 1.79 1.84 1.07 1.78 -0.15 1.26 0.63 1.61
5 0.08 1.21 -0.73 0.18 0.68 -0.85 1.05 0.11 0.3
6 0.6 0.07 1.08 1.34 -0.04 0.52 -0.24 1.85 -0.23
7 2.32 0.1 4.01 0.22 0.86 0.07 0 1.1 0.21
8 0.83 1.57 -0.88 1.02 0.25 0.9 0.83 -0.02 1.06
9 -0.68 -1.19 -0.77 -0.95 -0.06 -0.02 1.87 1.49 1.02
10 0.08 -0.56 0.2 -1.5 1.07 1.16 1.98 1.97 0.23
11 -0.32 -0.16 -0.14 0.58 0.62 -0.22 -0.86 0.8 1.22
12 -0.54 0.37 -0.55 0.81 -0.44 0.2 0.91 0.24 1.77
13 1.71 0.05 0.85 -0.29 2 0.52 2.29 0.3 0.54
14 1.1 0.06 0.18 -0.2 0.3 -0.14 1.66 1.08 0.95
15 -0.39 0.17 1.33 -0.51 0.67 -0.43 0.73 1.54 1.81
