Muestra X1 X2 X3 X4
1 13.991 16.526 15.684 19.547
2 16.468 17.275 13.673 18.858
3 12.699 14.561 16.360 16.385
4 15.193 18.959 16.494 15.883
5 14.445 18.043 12.345 25.241
6 14.248 19.056 17.048 19.094
7 12.742 14.246 13.119 16.924
8 11.369 16.988 15.636 23.030
9 15.448 15.555 13.240 15.113
10 16.732 17.669 20.262 19.881
11 15.593 21.613 8.893 18.491
12 13.911 21.289 14.546 21.276
13 16.175 8.485 14.212 9.046
14 16.715 23.590 6.912 19.922
15 10.405 23.299 21.525 12.645
16 14.952 15.725 14.484 26.328
17 16.519 13.148 18.552 16.807
18 15.720 15.630 17.796 11.743
19 11.350 22.594 7.752 16.051
20 11.650 17.082 20.034 7.702
21 19.587 15.800 10.619 8.275
22 18.838 15.368 16.865 19.269
23 22.909 15.585 13.772 21.713
24 12.428 11.370 13.879 25.783
25 12.670 17.654 11.285 11.304
26 15.991 18.526 17.684 21.547
27 18.468 19.275 15.673 20.858
28 14.699 16.561 18.360 18.385
29 17.193 20.959 18.494 17.883
30 16.445 20.043 14.345 27.241
